Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
1	0.020192861557006836	1.8303511142730713	0.175	0.146	0.168
2	0.0011086463928222656	12.399103164672852	0.16666666666666666	0.058	0.077
3	0.0008215904235839844	13.34801197052002	0.16666666666666666	0.172	0.182
4	0.0009589195251464844	6.156239986419678	0.3	0.284	0.275
5	0.0008566379547119141	4.804679870605469	0.16666666666666666	0.188	0.169
6	0.0006678104400634766	6.17634916305542	0.23333333333333334	0.196	0.219
7	0.0007417201995849609	4.638352870941162	0.275	0.236	0.193
8	0.0007460117340087891	2.126638412475586	0.30833333333333335	0.182	0.195
9	0.00066375732421875	3.219780921936035	0.20833333333333334	0.058	0.08
10	0.00074005126953125	2.672637701034546	0.2916666666666667	0.218	0.24
11	0.0006496906280517578	1.5781550407409668	0.475	0.33	0.323
12	0.0007069110870361328	1.50752854347229	0.475	0.248	0.235
13	0.0007572174072265625	1.7466100454330444	0.4166666666666667	0.282	0.275
14	0.0006651878356933594	1.391619324684143	0.5083333333333333	0.316	0.316
15	0.0006656646728515625	1.0389082431793213	0.6583333333333333	0.532	0.48
16	0.0007877349853515625	1.0298691987991333	0.525	0.3	0.264
17	0.0006594657897949219	0.8013668060302734	0.7416666666666667	0.37	0.346
18	0.0006530284881591797	0.7101973295211792	0.7583333333333333	0.404	0.447
19	0.0006515979766845703	0.7639829516410828	0.6083333333333333	0.278	0.3
20	0.0006480216979980469	0.6808255910873413	0.7083333333333334	0.294	0.328
21	0.0006561279296875	0.5696060657501221	0.8333333333333334	0.536	0.527
22	0.0006911754608154297	0.5426920056343079	0.8666666666666667	0.572	0.59
23	0.0007011890411376953	0.5249106287956238	0.9	0.636	0.649
24	0.0006999969482421875	0.47908005118370056	0.9	0.686	0.694
25	0.0007038116455078125	0.43933072686195374	0.9166666666666666	0.69	0.693
26	0.0006921291351318359	0.4254041016101837	0.9666666666666667	0.694	0.692
27	0.0006997585296630859	0.43648335337638855	0.95	0.612	0.625
28	0.0006678104400634766	0.4144528806209564	0.975	0.672	0.669
29	0.0006468296051025391	0.40400955080986023	0.9583333333333334	0.702	0.712
30	0.0007011890411376953	0.4060463607311249	0.9416666666666667	0.698	0.714
31	0.0006589889526367188	0.3978966772556305	0.9583333333333334	0.718	0.72
32	0.0008196830749511719	0.39775073528289795	0.975	0.712	0.703
33	0.0006859302520751953	0.38686397671699524	0.9666666666666667	0.708	0.712
34	0.0006706714630126953	0.3856870234012604	0.9583333333333334	0.698	0.712
35	0.0008165836334228516	0.3773452639579773	0.9666666666666667	0.714	0.715
36	0.0006711483001708984	0.3689367175102234	0.9666666666666667	0.738	0.724
37	0.0008046627044677734	0.36255204677581787	0.9833333333333333	0.72	0.715
38	0.00080108642578125	0.35336318612098694	0.9666666666666667	0.694	0.712
39	0.0006716251373291016	0.36116036772727966	0.95	0.688	0.7
40	0.0007555484771728516	0.3544557988643646	0.9416666666666667	0.688	0.696
41	0.0007426738739013672	0.3313453793525696	0.975	0.704	0.706
42	0.0006618499755859375	0.3198428153991699	0.975	0.724	0.714
43	0.0006504058837890625	0.32045701146125793	0.9583333333333334	0.692	0.717
44	0.0006539821624755859	0.2975439727306366	0.975	0.71	0.7
45	0.0023806095123291016	0.2928134799003601	0.9666666666666667	0.716	0.711
46	0.0007457733154296875	0.288038045167923	0.9583333333333334	0.682	0.695
47	0.0007102489471435547	0.2707533836364746	0.9833333333333333	0.724	0.723
48	0.0006597042083740234	0.2624182105064392	0.9833333333333333	0.724	0.709
49	0.001535177230834961	0.25901082158088684	0.9666666666666667	0.682	0.697
50	0.0007419586181640625	0.24763257801532745	0.9833333333333333	0.72	0.718
51	0.0018672943115234375	0.2407524436712265	0.975	0.694	0.71
52	0.0007345676422119141	0.2972135543823242	0.9583333333333334	0.62	0.623
53	0.0027413368225097656	0.5268144011497498	0.8166666666666667	0.674	0.689
54	0.0007908344268798828	0.31720787286758423	0.975	0.666	0.656
55	0.0007278919219970703	0.42755332589149475	0.8916666666666667	0.456	0.495
56	0.0006949901580810547	0.2553747892379761	0.9416666666666667	0.684	0.694
57	0.0026268959045410156	0.3052903413772583	0.9416666666666667	0.702	0.723
58	0.0006971359252929688	0.2818140387535095	0.9583333333333334	0.7	0.709
59	0.0008006095886230469	0.21434427797794342	0.975	0.664	0.656
60	0.0007109642028808594	0.29261308908462524	0.95	0.602	0.608
61	0.0006923675537109375	0.19139178097248077	0.975	0.696	0.707
62	0.0024955272674560547	0.2507741451263428	0.9666666666666667	0.716	0.723
63	0.0007178783416748047	0.21106761693954468	0.95	0.73	0.74
64	0.0011126995086669922	0.19015201926231384	0.975	0.684	0.692
65	0.0008034706115722656	0.228200763463974	0.975	0.636	0.64
66	0.0025856494903564453	0.18512804806232452	0.975	0.688	0.686
1	0.0033822059631347656	1.902178168296814	0.11666666666666667	0.152	0.164
2	0.0009393692016601562	10.015469551086426	0.16666666666666666	0.188	0.169
3	0.0008480548858642578	11.415106773376465	0.16666666666666666	0.058	0.077
4	0.0007450580596923828	10.444645881652832	0.325	0.37	0.361
5	0.0008563995361328125	6.032095432281494	0.36666666666666664	0.208	0.237
6	0.0007071495056152344	3.4977242946624756	0.625	0.484	0.49
7	0.0008263587951660156	4.093064308166504	0.175	0.172	0.182
8	0.0007483959197998047	1.8059484958648682	0.4166666666666667	0.244	0.267
9	0.0006692409515380859	1.0658247470855713	0.6416666666666667	0.436	0.439
10	0.0006501674652099609	1.3850523233413696	0.7416666666666667	0.402	0.382
11	0.0006537437438964844	1.8516680002212524	0.475	0.242	0.241
12	0.0006649494171142578	1.7544697523117065	0.6333333333333333	0.404	0.429
13	0.0007333755493164062	1.6467236280441284	0.6666666666666666	0.396	0.398
14	0.0006430149078369141	1.3847299814224243	0.7916666666666666	0.594	0.567
15	0.0006959438323974609	1.0968509912490845	0.7666666666666667	0.548	0.547
16	0.0006661415100097656	0.7908170819282532	0.7666666666666667	0.53	0.511
17	0.0006668567657470703	0.6390752196311951	0.9083333333333333	0.582	0.571
18	0.0006563663482666016	0.9773158431053162	0.4583333333333333	0.202	0.216
19	0.0006506443023681641	0.6494691967964172	0.875	0.416	0.461
20	0.0006587505340576172	0.5437227487564087	0.925	0.614	0.599
