Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
1	0.09734582901000977	1.9592379331588745	0.10714285714285714	0.062	0.067
2	0.0012350082397460938	1.4851154088974	0.9357142857142857	0.648	0.671
3	0.0007712841033935547	0.993013322353363	0.9785714285714285	0.752	0.743
4	0.0006902217864990234	0.5937317609786987	0.9857142857142858	0.78	0.791
5	0.0007700920104980469	0.3477669358253479	0.9857142857142858	0.796	0.811
6	0.0006570816040039062	0.20678021013736725	0.9857142857142858	0.79	0.813
7	0.0005710124969482422	0.12619103491306305	0.9928571428571429	0.786	0.815
8	0.0006525516510009766	0.08150409162044525	1.0	0.786	0.811
9	0.0006453990936279297	0.05744834616780281	1.0	0.784	0.809
10	0.0005514621734619141	0.043814677745103836	1.0	0.78	0.808
11	0.0005576610565185547	0.03707606717944145	1.0	0.78	0.806
12	0.0005514621734619141	0.034168511629104614	1.0	0.784	0.81
13	0.0005476474761962891	0.03399808332324028	1.0	0.776	0.811
14	0.0005402565002441406	0.036244481801986694	1.0	0.776	0.812
15	0.0005538463592529297	0.040498219430446625	1.0	0.774	0.812
16	0.0005376338958740234	0.04690476134419441	1.0	0.774	0.817
17	0.0006077289581298828	0.05476275458931923	1.0	0.776	0.817
18	0.0005719661712646484	0.0634927824139595	1.0	0.78	0.821
19	0.0005452632904052734	0.07217054814100266	1.0	0.784	0.819
20	0.0005414485931396484	0.07929099351167679	1.0	0.782	0.811
21	0.0005407333374023438	0.08445974439382553	1.0	0.776	0.804
22	0.0005445480346679688	0.08652060478925705	1.0	0.772	0.805
23	0.0005385875701904297	0.0859641283750534	1.0	0.778	0.807
24	0.0005471706390380859	0.08350397646427155	1.0	0.776	0.807
25	0.0005412101745605469	0.07982251048088074	1.0	0.772	0.803
26	0.0005400180816650391	0.07580571621656418	1.0	0.77	0.802
27	0.000537872314453125	0.072001151740551	1.0	0.77	0.801
28	0.0005412101745605469	0.06858398020267487	1.0	0.774	0.804
29	0.0005385875701904297	0.06587456911802292	1.0	0.78	0.807
30	0.0005793571472167969	0.06385577470064163	1.0	0.782	0.809
