Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
1	0.026458024978637695	1.1674420833587646	0.2833333333333333	0.346	0.357
2	0.0032117366790771484	1.1365569829940796	0.75	0.72	0.721
3	0.001117706298828125	4.059385299682617	0.6166666666666667	0.662	0.666
4	0.003178834915161133	2.214667797088623	0.6666666666666666	0.564	0.559
5	0.0010199546813964844	2.8448946475982666	0.6333333333333333	0.518	0.51
6	0.0011723041534423828	1.7527778148651123	0.7166666666666667	0.656	0.635
7	0.000978231430053711	0.6787922382354736	0.8833333333333333	0.81	0.809
8	0.0010292530059814453	0.7135627269744873	0.9	0.83	0.827
9	0.0010097026824951172	0.9936862587928772	0.85	0.776	0.776
10	0.002101421356201172	1.1316171884536743	0.8333333333333334	0.762	0.745
11	0.0012226104736328125	0.8508137464523315	0.8833333333333333	0.786	0.801
12	0.0008511543273925781	0.6672068238258362	0.9166666666666666	0.814	0.822
13	0.0009198188781738281	0.5207456946372986	0.9333333333333333	0.816	0.817
14	0.0009171962738037109	0.3804360032081604	0.9333333333333333	0.798	0.802
15	0.0008554458618164062	0.4330276548862457	0.8666666666666667	0.768	0.765
16	0.0008435249328613281	0.3997689485549927	0.8666666666666667	0.732	0.753
17	0.0008466243743896484	0.232614666223526	0.8833333333333333	0.752	0.749
18	0.0008502006530761719	0.20506486296653748	0.9166666666666666	0.75	0.753
19	0.0009205341339111328	0.19940629601478577	0.9666666666666667	0.784	0.787
20	0.0008492469787597656	0.23851947486400604	0.95	0.786	0.804
21	0.0009195804595947266	0.20446178317070007	0.9333333333333333	0.796	0.799
22	0.0009236335754394531	0.14528623223304749	0.9333333333333333	0.78	0.792
23	0.0008394718170166016	0.12846152484416962	0.9333333333333333	0.772	0.783
24	0.0008420944213867188	0.0979437455534935	0.95	0.76	0.772
25	0.0008482933044433594	0.11391099542379379	0.95	0.752	0.77
26	0.0008780956268310547	0.1273588389158249	0.95	0.752	0.768
27	0.0008466243743896484	0.12010478973388672	0.9666666666666667	0.764	0.775
28	0.0008566379547119141	0.09951683133840561	0.9666666666666667	0.776	0.786
29	0.0008482933044433594	0.08278021961450577	0.9666666666666667	0.788	0.798
30	0.0008387565612792969	0.08223386853933334	0.95	0.768	0.798
31	0.0009133815765380859	0.07337843626737595	0.9833333333333333	0.768	0.791
32	0.0009224414825439453	0.06053208187222481	0.9666666666666667	0.776	0.79
33	0.0008435249328613281	0.058080416172742844	0.9833333333333333	0.764	0.787
34	0.0009186267852783203	0.06468053162097931	0.9833333333333333	0.758	0.774
35	0.0009024143218994141	0.06714916974306107	0.9833333333333333	0.748	0.765
36	0.0008480548858642578	0.057968802750110626	0.9833333333333333	0.748	0.772
37	0.0009796619415283203	0.05258785933256149	0.9666666666666667	0.762	0.784
38	0.0009183883666992188	0.0517922081053257	0.9833333333333333	0.766	0.788
1	0.002530336380004883	2.004365921020508	0.3333333333333333	0.412	0.405
2	0.0010006427764892578	11.137864112854004	0.5	0.432	0.423
3	0.0009524822235107422	16.04164695739746	0.3333333333333333	0.388	0.413
4	0.00093841552734375	6.949496746063232	0.35	0.398	0.419
5	0.0008516311645507812	1.436358094215393	0.7333333333333333	0.65	0.629
6	0.0009348392486572266	2.018526554107666	0.65	0.5	0.469
7	0.0009315013885498047	2.5797646045684814	0.6166666666666667	0.52	0.502
8	0.0009508132934570312	2.525526285171509	0.6	0.53	0.524
9	0.0008459091186523438	1.966261625289917	0.6166666666666667	0.55	0.531
10	0.0008399486541748047	1.1387614011764526	0.6833333333333333	0.574	0.559
11	0.0008471012115478516	0.5537480711936951	0.8166666666666667	0.792	0.796
12	0.0009157657623291016	0.649318277835846	0.85	0.774	0.772
13	0.0009303092956542969	0.7995229363441467	0.8166666666666667	0.738	0.723
14	0.0009331703186035156	0.8138290643692017	0.8166666666666667	0.73	0.711
15	0.0009236335754394531	0.7314695119857788	0.7833333333333333	0.724	0.718
16	0.0009336471557617188	0.572394609451294	0.85	0.77	0.758
17	0.0008640289306640625	0.4269106984138489	0.8666666666666667	0.83	0.805
18	0.0009157657623291016	0.34612658619880676	0.8833333333333333	0.83	0.834
19	0.0008685588836669922	0.3398161828517914	0.85	0.81	0.806
20	0.0009217262268066406	0.3624645471572876	0.8666666666666667	0.754	0.753
21	0.0009310245513916016	0.3471934497356415	0.8666666666666667	0.762	0.74
22	0.00092315673828125	0.3107040226459503	0.8833333333333333	0.796	0.788
23	0.0009374618530273438	0.28563085198402405	0.9166666666666666	0.832	0.804
24	0.0009396076202392578	0.2780386209487915	0.9166666666666666	0.824	0.829
25	0.0009343624114990234	0.2655283510684967	0.9166666666666666	0.832	0.83
26	0.0008625984191894531	0.2514163553714752	0.9166666666666666	0.84	0.833
27	0.0008692741394042969	0.24314528703689575	0.9333333333333333	0.848	0.827
28	0.0008726119995117188	0.23955464363098145	0.9333333333333333	0.824	0.817
29	0.0008764266967773438	0.22667565941810608	0.9333333333333333	0.822	0.811
30	0.0008456707000732422	0.21252116560935974	0.9333333333333333	0.82	0.82
31	0.0008494853973388672	0.20887182652950287	0.9333333333333333	0.826	0.82
32	0.0008428096771240234	0.20108379423618317	0.9333333333333333	0.818	0.825
33	0.0008442401885986328	0.18719783425331116	0.9333333333333333	0.818	0.823
34	0.0009195804595947266	0.1788714975118637	0.9333333333333333	0.818	0.822
35	0.0009267330169677734	0.17340366542339325	0.95	0.814	0.818
36	0.000934600830078125	0.16528435051441193	0.95	0.81	0.816
37	0.0009210109710693359	0.15392619371414185	0.95	0.814	0.816
38	0.00093841552734375	0.14505138993263245	0.95	0.808	0.817
39	0.0009174346923828125	0.13747623562812805	0.9666666666666667	0.81	0.812
40	0.0009176731109619141	0.12621743977069855	0.9833333333333333	0.806	0.806
41	0.0008425712585449219	0.11636959761381149	0.9666666666666667	0.804	0.807
42	0.0008487701416015625	0.10894094407558441	0.9833333333333333	0.808	0.805
43	0.0008435249328613281	0.10130218416452408	0.9833333333333333	0.806	0.807
44	0.0022962093353271484	0.09416662156581879	0.9833333333333333	0.8	0.808
45	0.002069234848022461	0.08713409304618835	0.9833333333333333	0.796	0.807
46	0.0026929378509521484	0.0804215669631958	0.9833333333333333	0.782	0.797
47	0.0028476715087890625	0.08580488711595535	0.9833333333333333	0.802	0.807
48	0.0030438899993896484	0.10832294821739197	0.9666666666666667	0.744	0.77
49	0.0028531551361083984	0.06667863577604294	0.9833333333333333	0.8	0.798
50	0.0028312206268310547	0.09571771323680878	0.9666666666666667	0.8	0.81
51	0.0021200180053710938	0.0627354234457016	0.9833333333333333	0.806	0.795
52	0.0009768009185791016	0.07627405971288681	0.9833333333333333	0.762	0.784
53	0.0020558834075927734	0.0727204903960228	0.9833333333333333	0.758	0.778
54	0.0009937286376953125	0.05728718265891075	0.9833333333333333	0.792	0.795
55	0.0009496212005615234	0.0663631334900856	0.9833333333333333	0.794	0.806
56	0.0009565353393554688	0.05856605991721153	0.9833333333333333	0.792	0.8
57	0.0013027191162109375	0.05025852844119072	0.9833333333333333	0.804	0.795
1	0.006952047348022461	1.8462903499603271	0.3	0.158	0.166
2	0.0009160041809082031	9.761130332946777	0.5166666666666667	0.546	0.574
3	0.0008785724639892578	9.521843910217285	0.3333333333333333	0.416	0.407
4	0.0009775161743164062	2.2649824619293213	0.6166666666666667	0.538	0.532
5	0.0008890628814697266	1.9413552284240723	0.6333333333333333	0.56	0.574
6	0.0009086132049560547	2.9385972023010254	0.5833333333333334	0.508	0.515
7	0.0008597373962402344	2.9986538887023926	0.65	0.564	0.578
8	0.0008914470672607422	2.537602663040161	0.7166666666666667	0.634	0.626
9	0.0011565685272216797	1.841863751411438	0.8	0.694	0.685
10	0.0009860992431640625	1.1305404901504517	0.8166666666666667	0.77	0.741
11	0.0009357929229736328	0.5980275273323059	0.8833333333333333	0.796	0.805
12	0.0009369850158691406	0.5109761357307434	0.8833333333333333	0.734	0.716
13	0.0009295940399169922	0.9434079527854919	0.7166666666666667	0.574	0.575
